#{"t_start": 1760091914.9956167, "env_id": "None"}
r,l,t
107.4797,5000,1567.976402
384.16824,5000,1569.454633
-366.00827,5000,1580.427566
-155.4251,5000,1581.185509
247.65602,5000,1585.57237
-140.53609,5000,1586.825108
368.0651,5000,1595.256708
-192.44191,5000,1595.747143
-855.5507,5000,1598.945778
416.31818,5000,1600.057982
-422.8569,5000,1608.116322
395.58047,5000,1608.659477
226.36281,5000,1611.921166
333.6234,5000,1612.813775
199.6677,5000,1620.620591
585.44434,5000,1620.932395
499.08548,5000,1624.152742
447.69733,5000,1625.232329
35.84993,5000,1632.76917
-203.26396,5000,1633.247535
66.4065,5000,1636.926078
-188.29765,5000,1637.934031
414.38132,5000,1645.418869
390.92227,5000,1645.743237
-478.01608,5000,1648.844933
446.50824,5000,1649.93805
328.03915,5000,1657.747059
-428.32138,5000,1658.222837
586.8908,5000,1661.48837
253.8808,5000,1662.544189
476.99762,5000,1670.641471
-403.04898,5000,1671.009238
-274.8414,5000,1674.79623
19.264418,5000,1676.002946
-569.2455,5000,1683.484659
-409.46497,5000,1683.952709
-363.93793,5000,1687.094832
335.19324,5000,1688.067774
450.81415,5000,1695.825325
-661.04175,5000,1696.182704
-390.5721,5000,1699.61972
343.60052,5000,1700.565661
-91.23129,5000,1707.961957
511.4635,5000,1708.424803
-158.05133,5000,1711.6158
357.87427,5000,1712.726043
-194.1197,5000,1720.357792
-532.78284,5000,1720.695441
54.984642,5000,1724.085408
-171.50468,5000,1725.294716
389.0795,5000,1733.107504
487.72662,5000,1733.598641
421.30377,5000,1736.80162
121.91842,5000,1737.894728
-238.86934,5000,1745.222279
-104.70927,5000,1745.663313
-89.12287,5000,1748.731488
-369.5606,5000,1749.627817
561.1837,5000,1757.380813
426.93893,5000,1757.994436
-67.28085,5000,1761.154411
387.67798,5000,1762.212935
-171.89967,5000,1769.921791
-433.08835,5000,1770.406906
-211.41165,5000,1773.567659
-191.69525,5000,1774.699573
-915.40735,5000,1782.117595
383.17603,5000,1782.678097
320.93503,5000,1786.541255
-214.98721,5000,1787.548492
-365.0214,5000,1795.287543
-135.91212,5000,1795.738359
521.5899,5000,1798.814443
-909.608,5000,1799.744696
-300.25986,5000,1807.092656
546.476,5000,1807.575227
-86.27633,5000,1810.798121
-832.4363,5000,1811.833617
360.38586,5000,1819.729708
471.22385,5000,1820.320707
141.98326,5000,1823.474112
598.2016,5000,1824.352001
585.25146,5000,1832.084161
307.48187,5000,1832.427542
-186.37791,5000,1835.886056
-499.1906,5000,1836.985127
-514.0967,5000,1844.603782
-335.88284,5000,1845.385104
-177.52795,5000,1848.885219
-414.6274,5000,1849.912039
-316.84344,5000,1857.222004
-879.98334,5000,1857.54799
554.5259,5000,1860.611035
-401.7398,5000,1861.649816
669.82245,5000,1869.14941
-1014.1716,5000,1869.654338
-647.16437,5000,1872.82179
-249.33762,5000,1873.908867
-78.64561,5000,1881.748582
-266.9981,5000,1882.04577
-575.8765,5000,1885.399066
-398.86472,5000,1886.267841
-344.97733,5000,1893.713673
-219.02094,5000,1894.260241
-1097.4266,5000,1897.643673
-484.5271,5000,1898.712274
-169.15414,5000,1906.854726
-185.98445,5000,1907.195987
-1080.3735,5000,1910.613295
-92.75592,5000,1911.483161
-389.73813,5000,1919.056303
-610.9644,5000,1919.61451
-337.2578,5000,1922.695911
699.13696,5000,1923.71692
-70.97943,5000,1931.084167
-296.54446,5000,1931.564841
-386.9886,5000,1934.718828
-103.62354,5000,1936.01811
541.7007,5000,1943.88888
-276.15152,5000,1944.355192
-805.2526,5000,1947.456502
68.76209,5000,1948.454208
-249.71045,5000,1955.908852
-103.46735,5000,1956.461489
-886.0653,5000,1959.544176
-628.5091,5000,1960.447979
-208.40858,5000,1968.803996
631.03204,5000,1969.279275
-146.82236,5000,1972.541273
-115.258766,5000,1973.605927
-116.99692,5000,1981.007458
445.2957,5000,1981.543715
-284.85422,5000,1984.581794
-523.67804,5000,1985.418287
-446.3001,5000,1992.614277
652.75354,5000,1993.124075
