#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-72.72141,370,32.284218
-1260.0936,2698,32.331031
-250.13707,627,32.4409
-89.84792,180,32.498101
-676.13104,3154,32.723851
-130.96732,248,32.73509
-96.9886,495,32.786416
-622.9059,1265,32.975325
-668.3284,1330,33.092558
-606.451,1936,33.191142
-338.1354,842,33.327935
-16.992378,37,33.371472
-36.303154,262,33.498325
-142.8945,662,33.516241
-172.01582,588,33.669118
-196.84245,500,33.681571
-191.80286,323,33.879562
-76.01449,336,34.061998
-196.96977,351,34.090481
-383.21106,1212,34.149153
-308.79327,803,34.317618
-73.61029,156,34.499326
-235.2953,484,34.63335
-242.31326,664,34.660703
-30.994205,164,34.855371
-253.53935,685,34.959994
-393.3017,822,35.063082
-81.47958,370,35.076208
-132.87393,302,35.216284
-637.355,1505,35.296682
-1482.0652,2142,35.320437
-122.90086,690,35.321698
-53.871555,115,35.457466
-60.493282,203,35.696584
-964.1085,3187,36.258497
-279.4818,1100,36.36298
-227.16962,907,36.363032
-106.03953,268,36.572778
-293.4402,1184,36.709509
-504.0751,1279,36.72039
-28.445852,45,36.76314
-383.05316,1076,36.957418
-342.05716,1740,37.014274
-290.74072,577,37.043344
-118.97071,487,37.148868
-173.56097,384,37.17516
-801.8548,1826,37.22696
-49.59875,106,37.299822
-102.196724,336,37.416521
-108.523476,271,37.550783
-445.20758,1036,37.986236
-129.28142,523,38.033353
-30.412546,954,38.094033
-462.12646,903,38.118349
-169.7504,610,38.282942
-179.80899,286,38.338989
-78.90386,195,38.352841
-47.331104,61,38.353618
-556.44403,1939,38.667668
-178.27579,287,38.696483
-233.72179,563,38.71105
-84.52561,524,38.725359
-61.8772,145,38.841127
-202.2389,467,38.911522
-106.253044,212,38.947516
-80.7991,234,38.989138
-442.4702,1450,39.032685
-441.77057,1629,39.09457
-170.30481,340,39.394677
-145.6502,449,39.446153
-142.83083,421,39.450113
-101.893845,362,39.524145
-84.42294,577,40.132162
-393.67816,955,40.173165
-219.48602,645,40.221759
-576.0631,1659,40.317201
-358.46167,1492,40.508018
-164.03438,452,40.677761
-17.014921,18,40.699778
-107.06997,337,40.723681
-11.88319,31,40.758449
-72.83006,202,40.997759
-148.7225,667,41.015807
-19.619137,37,41.058518
-905.14246,1447,41.118749
-192.09502,589,41.201516
-162.12361,884,41.223527
-64.66981,208,41.243007
-5.4717197,2,41.24445
-69.85953,266,41.429562
-232.1449,637,41.448055
-23.75888,84,41.549551
-250.66827,354,41.619897
-14.716072,25,41.648556
-1232.4097,1928,41.813614
-92.026405,346,41.839473
-84.65095,304,41.912408
-208.47276,408,42.137056
-967.34656,2773,42.14265
-145.992,207,42.392487
-109.476425,531,42.547355
-55.17898,259,42.697573
-139.55882,717,42.69843
-134.76614,375,42.986696
-202.14166,295,43.042907
-16.688816,42,43.097479
-178.14595,810,43.101451
-34.805084,98,43.107723
-213.7836,1696,43.239046
-52.37142,138,43.259918
-169.08795,213,43.357578
-178.34383,330,43.628016
-388.9236,715,43.946163
-15.012632,29,43.982028
-1207.7565,1979,44.167423
-283.25107,693,44.178445
-92.38595,487,44.20587
-610.90283,2617,44.351608
-99.85908,291,44.522045
-312.04254,1161,44.636634
-173.31792,283,44.686094
-76.887215,144,44.694904
-118.585884,500,44.761967
-695.6379,3240,44.90284
-8.545835,26,44.932089
-91.86525,193,44.988789
-35.695824,146,45.169026
-971.78217,2197,45.306046
